,Subject,Start Date,Start Time,End Time,Description,End Date,Categories,Start DateTime,End DateTime,Time Spent,Time Spent (Minutes),Month,Day
102,Οικογένεια,1/1/2024,18:15:00,23:00:00," 
",1/1/2024,Οικογένεια,2024-01-01 18:15:00,2024-01-01 23:00:00,0 days 04:45:00,285.0,January,1
103,Οικογένεια,1/1/2024,14:00:00,15:00:00," 
",1/1/2024,Οικογένεια,2024-01-01 14:00:00,2024-01-01 15:00:00,0 days 01:00:00,60.0,January,1
104,Erroneous Tasks,1/1/2024,15:00:00,17:00:00," 
",1/1/2024,Erroneοus Tasks,2024-01-01 15:00:00,2024-01-01 17:00:00,0 days 02:00:00,120.0,January,1
105,<3,1/1/2024,00:30:00,06:30:00," 
",1/1/2024,Purple category,2024-01-01 00:30:00,2024-01-01 06:30:00,0 days 06:00:00,360.0,January,1
106,Χαζεύω,1/1/2024,06:30:00,07:00:00," 
",1/1/2024,Χαζεύω,2024-01-01 06:30:00,2024-01-01 07:00:00,0 days 00:30:00,30.0,January,1
107,Ύπνος,1/1/2024,07:00:00,14:00:00," 
",1/1/2024,Ύπνος,2024-01-01 07:00:00,2024-01-01 14:00:00,0 days 07:00:00,420.0,January,1
108,Χαζεύω,1/1/2024,17:00:00,18:15:00," 
",1/1/2024,Χαζεύω,2024-01-01 17:00:00,2024-01-01 18:15:00,0 days 01:15:00,75.0,January,1
109,Οικογένεια,1/1/2024,00:00:00,00:30:00," 
",1/1/2024,Οικογένεια,2024-01-01 00:00:00,2024-01-01 00:30:00,0 days 00:30:00,30.0,January,1
110,Other,2/1/2024,08:45:00,10:00:00," 
",2/1/2024,Other,2024-01-02 08:45:00,2024-01-02 10:00:00,0 days 01:15:00,75.0,January,2
111,Χαζεύω,2/1/2024,00:00:00,00:30:00," 
",2/1/2024,Χαζεύω,2024-01-02 00:00:00,2024-01-02 00:30:00,0 days 00:30:00,30.0,January,2
112,Erroneous Tasks,2/1/2024,20:00:00,21:30:00,"Ινδια Visa
",2/1/2024,Erroneοus Tasks,2024-01-02 20:00:00,2024-01-02 21:30:00,0 days 01:30:00,90.0,January,2
114,Erroneous Tasks,3/1/2024,07:40:00,08:20:00,"Εξέταση Αίματος
",3/1/2024,Erroneοus Tasks,2024-01-03 07:40:00,2024-01-03 08:20:00,0 days 00:40:00,40.0,January,3
115,Erroneous Tasks,4/1/2024,18:30:00,19:00:00,"Τηλέφωνο Στέργιος
",4/1/2024,Erroneοus Tasks,2024-01-04 18:30:00,2024-01-04 19:00:00,0 days 00:30:00,30.0,January,4
116,Φίλοι,4/1/2024,19:00:00,21:00:00,"Ερη
",4/1/2024,Φίλοι,2024-01-04 19:00:00,2024-01-04 21:00:00,0 days 02:00:00,120.0,January,4
117,Φίλοι,5/1/2024,18:00:00,20:00:00,"Νταλάκας
",5/1/2024,Φίλοι,2024-01-05 18:00:00,2024-01-05 20:00:00,0 days 02:00:00,120.0,January,5
119,Χαζεύω,2/1/2024,14:15:00,15:00:00," 
",2/1/2024,Χαζεύω,2024-01-02 14:15:00,2024-01-02 15:00:00,0 days 00:45:00,45.0,January,2
120,Οικογένεια,2/1/2024,16:00:00,16:30:00," 
",2/1/2024,Οικογένεια,2024-01-02 16:00:00,2024-01-02 16:30:00,0 days 00:30:00,30.0,January,2
121,Other,2/1/2024,18:00:00,18:30:00," 
",2/1/2024,Other,2024-01-02 18:00:00,2024-01-02 18:30:00,0 days 00:30:00,30.0,January,2
122,Erroneous Tasks,2/1/2024,18:30:00,20:00:00," 
",2/1/2024,Erroneοus Tasks,2024-01-02 18:30:00,2024-01-02 20:00:00,0 days 01:30:00,90.0,January,2
124,Ύπνος,2/1/2024,22:30:00,07:00:00," 
",3/1/2024,Ύπνος,2024-01-02 22:30:00,2024-01-03 07:00:00,0 days 08:30:00,510.0,January,2
125,Erroneous Tasks,4/1/2024,18:00:00,18:30:00,"KBC Τράπεζες
",4/1/2024,Erroneοus Tasks,2024-01-04 18:00:00,2024-01-04 18:30:00,0 days 00:30:00,30.0,January,4
126,Χαζεύω,3/1/2024,07:00:00,07:40:00," 
",3/1/2024,Χαζεύω,2024-01-03 07:00:00,2024-01-03 07:40:00,0 days 00:40:00,40.0,January,3
127,Erroneous Tasks,5/1/2024,07:30:00,08:30:00,"Εξέταση Αίματος
",5/1/2024,Erroneοus Tasks,2024-01-05 07:30:00,2024-01-05 08:30:00,0 days 01:00:00,60.0,January,5
129,Break,3/1/2024,11:30:00,12:00:00," 
",3/1/2024,Break,2024-01-03 11:30:00,2024-01-03 12:00:00,0 days 00:30:00,30.0,January,3
130,Εργασία,3/1/2024,12:00:00,12:30:00," 
",3/1/2024,Εργασία,2024-01-03 12:00:00,2024-01-03 12:30:00,0 days 00:30:00,30.0,January,3
131,Χαζεύω,3/1/2024,12:30:00,13:00:00," 
",3/1/2024,Χαζεύω,2024-01-03 12:30:00,2024-01-03 13:00:00,0 days 00:30:00,30.0,January,3
132,Εργασία,3/1/2024,13:00:00,14:30:00," 
",3/1/2024,Εργασία,2024-01-03 13:00:00,2024-01-03 14:30:00,0 days 01:30:00,90.0,January,3
133,Εργασία,3/1/2024,14:30:00,16:45:00," 
",3/1/2024,Εργασία,2024-01-03 14:30:00,2024-01-03 16:45:00,0 days 02:15:00,135.0,January,3
134,Erroneous Tasks,3/1/2024,17:00:00,19:30:00,"Ινδια Visa
",3/1/2024,Erroneοus Tasks,2024-01-03 17:00:00,2024-01-03 19:30:00,0 days 02:30:00,150.0,January,3
135,Οικογένεια,3/1/2024,16:45:00,17:00:00," 
",3/1/2024,Οικογένεια,2024-01-03 16:45:00,2024-01-03 17:00:00,0 days 00:15:00,15.0,January,3
136,Οικογένεια,3/1/2024,19:30:00,20:00:00," 
",3/1/2024,Οικογένεια,2024-01-03 19:30:00,2024-01-03 20:00:00,0 days 00:30:00,30.0,January,3
137,Ύπνος,4/1/2024,00:00:00,08:30:00," 
",4/1/2024,Ύπνος,2024-01-04 00:00:00,2024-01-04 08:30:00,0 days 08:30:00,510.0,January,4
138,Οικογένεια,3/1/2024,22:00:00,00:00:00," 
",4/1/2024,Οικογένεια,2024-01-03 22:00:00,2024-01-04 00:00:00,0 days 02:00:00,120.0,January,3
139,<3,3/1/2024,20:00:00,22:00:00," 
",3/1/2024,Purple category,2024-01-03 20:00:00,2024-01-03 22:00:00,0 days 02:00:00,120.0,January,3
140,Other,4/1/2024,08:30:00,09:00:00," 
",4/1/2024,Other,2024-01-04 08:30:00,2024-01-04 09:00:00,0 days 00:30:00,30.0,January,4
141,Break,10/1/2024,12:00:00,13:30:00," 
",10/1/2024,Break,2024-01-10 12:00:00,2024-01-10 13:30:00,0 days 01:30:00,90.0,January,10
142,Break,11/1/2024,12:00:00,13:00:00," 
",11/1/2024,Break,2024-01-11 12:00:00,2024-01-11 13:00:00,0 days 01:00:00,60.0,January,11
143,Break,12/1/2024,12:15:00,13:00:00," 
",12/1/2024,Break,2024-01-12 12:15:00,2024-01-12 13:00:00,0 days 00:45:00,45.0,January,12
144,Εργασία,11/1/2024,13:00:00,14:30:00," 
",11/1/2024,Εργασία,2024-01-11 13:00:00,2024-01-11 14:30:00,0 days 01:30:00,90.0,January,11
145,Εργασία,11/1/2024,09:00:00,10:00:00," 
",11/1/2024,Εργασία,2024-01-11 09:00:00,2024-01-11 10:00:00,0 days 01:00:00,60.0,January,11
146,Εργασία,10/1/2024,13:30:00,16:00:00," 
",10/1/2024,Εργασία,2024-01-10 13:30:00,2024-01-10 16:00:00,0 days 02:30:00,150.0,January,10
147,Οικογένεια,4/1/2024,10:30:00,11:00:00," 
",4/1/2024,Οικογένεια,2024-01-04 10:30:00,2024-01-04 11:00:00,0 days 00:30:00,30.0,January,4
148,Εργασία,4/1/2024,11:00:00,11:30:00," 
",4/1/2024,Εργασία,2024-01-04 11:00:00,2024-01-04 11:30:00,0 days 00:30:00,30.0,January,4
149,Εργασία,4/1/2024,13:00:00,15:00:00," 
",4/1/2024,Εργασία,2024-01-04 13:00:00,2024-01-04 15:00:00,0 days 02:00:00,120.0,January,4
150,Erroneous Tasks,4/1/2024,11:30:00,12:00:00,"Τηλέφωνο Στέργιος
",4/1/2024,Erroneοus Tasks,2024-01-04 11:30:00,2024-01-04 12:00:00,0 days 00:30:00,30.0,January,4
151,Εργασία,4/1/2024,12:00:00,12:30:00," 
",4/1/2024,Εργασία,2024-01-04 12:00:00,2024-01-04 12:30:00,0 days 00:30:00,30.0,January,4
152,Other,4/1/2024,12:30:00,13:00:00," 
",4/1/2024,Other,2024-01-04 12:30:00,2024-01-04 13:00:00,0 days 00:30:00,30.0,January,4
153,Εργασία,4/1/2024,15:30:00,18:00:00," 
",4/1/2024,Εργασία,2024-01-04 15:30:00,2024-01-04 18:00:00,0 days 02:30:00,150.0,January,4
154,Ύπνος,5/1/2024,00:00:00,06:00:00," 
",5/1/2024,Ύπνος,2024-01-05 00:00:00,2024-01-05 06:00:00,0 days 06:00:00,360.0,January,5
155,Ύπνος,6/1/2024,00:00:00,08:30:00," 
",6/1/2024,Ύπνος,2024-01-06 00:00:00,2024-01-06 08:30:00,0 days 08:30:00,510.0,January,6
156,Ύπνος,6/1/2024,23:30:00,06:30:00," 
",7/1/2024,Ύπνος,2024-01-06 23:30:00,2024-01-07 06:30:00,0 days 07:00:00,420.0,January,6
157,Ύπνος,8/1/2024,00:00:00,07:00:00," 
",8/1/2024,Ύπνος,2024-01-08 00:00:00,2024-01-08 07:00:00,0 days 07:00:00,420.0,January,8
158,Ύπνος,9/1/2024,00:00:00,04:30:00," 
",9/1/2024,Ύπνος,2024-01-09 00:00:00,2024-01-09 04:30:00,0 days 04:30:00,270.0,January,9
159,Ύπνος,10/1/2024,00:00:00,07:15:00," 
",10/1/2024,Ύπνος,2024-01-10 00:00:00,2024-01-10 07:15:00,0 days 07:15:00,435.0,January,10
160,Ύπνος,10/1/2024,23:00:00,07:00:00," 
",11/1/2024,Ύπνος,2024-01-10 23:00:00,2024-01-11 07:00:00,0 days 08:00:00,480.0,January,10
161,Ύπνος,13/1/2024,00:00:00,10:00:00," 
",13/1/2024,Ύπνος,2024-01-13 00:00:00,2024-01-13 10:00:00,0 days 10:00:00,600.0,January,13
162,Ύπνος,14/1/2024,00:00:00,09:00:00," 
",14/1/2024,Ύπνος,2024-01-14 00:00:00,2024-01-14 09:00:00,0 days 09:00:00,540.0,January,14
163,<3,10/1/2024,22:30:00,23:00:00," 
",10/1/2024,Purple category,2024-01-10 22:30:00,2024-01-10 23:00:00,0 days 00:30:00,30.0,January,10
164,<3,11/1/2024,17:00:00,23:00:00," 
",11/1/2024,Purple category,2024-01-11 17:00:00,2024-01-11 23:00:00,0 days 06:00:00,360.0,January,11
165,<3,4/1/2024,15:00:00,15:30:00," 
",4/1/2024,Purple category,2024-01-04 15:00:00,2024-01-04 15:30:00,0 days 00:30:00,30.0,January,4
166,Οικογένεια,4/1/2024,21:00:00,00:00:00," 
",5/1/2024,Οικογένεια,2024-01-04 21:00:00,2024-01-05 00:00:00,0 days 03:00:00,180.0,January,4
167,Χαζεύω,5/1/2024,06:00:00,06:15:00,,5/1/2024,Χαζεύω,2024-01-05 06:00:00,2024-01-05 06:15:00,0 days 00:15:00,15.0,January,5
168,Other,5/1/2024,06:30:00,07:00:00," 
",5/1/2024,Other,2024-01-05 06:30:00,2024-01-05 07:00:00,0 days 00:30:00,30.0,January,5
169,Οικογένεια,5/1/2024,07:00:00,07:30:00," 
",5/1/2024,Οικογένεια,2024-01-05 07:00:00,2024-01-05 07:30:00,0 days 00:30:00,30.0,January,5
170,Χαζεύω,5/1/2024,10:00:00,11:00:00," 
",5/1/2024,Χαζεύω,2024-01-05 10:00:00,2024-01-05 11:00:00,0 days 01:00:00,60.0,January,5
171,Εργασία,5/1/2024,11:00:00,11:45:00," 
",5/1/2024,Εργασία,2024-01-05 11:00:00,2024-01-05 11:45:00,0 days 00:45:00,45.0,January,5
173,Εργασία,5/1/2024,13:30:00,14:00:00," 
",5/1/2024,Εργασία,2024-01-05 13:30:00,2024-01-05 14:00:00,0 days 00:30:00,30.0,January,5
174,Οικογένεια,5/1/2024,14:00:00,14:30:00," 
",5/1/2024,Οικογένεια,2024-01-05 14:00:00,2024-01-05 14:30:00,0 days 00:30:00,30.0,January,5
175,Εργασία,5/1/2024,14:30:00,17:00:00," 
",5/1/2024,Εργασία,2024-01-05 14:30:00,2024-01-05 17:00:00,0 days 02:30:00,150.0,January,5
176,Οικογένεια,5/1/2024,20:00:00,00:00:00," 
",6/1/2024,Οικογένεια,2024-01-05 20:00:00,2024-01-06 00:00:00,0 days 04:00:00,240.0,January,5
177,<3,5/1/2024,17:00:00,18:00:00," 
",5/1/2024,Purple category,2024-01-05 17:00:00,2024-01-05 18:00:00,0 days 01:00:00,60.0,January,5
178,Οικογένεια,6/1/2024,08:30:00,09:00:00," 
",6/1/2024,Οικογένεια,2024-01-06 08:30:00,2024-01-06 09:00:00,0 days 00:30:00,30.0,January,6
179,Erroneous Tasks,6/1/2024,09:00:00,09:30:00," 
",6/1/2024,Erroneοus Tasks,2024-01-06 09:00:00,2024-01-06 09:30:00,0 days 00:30:00,30.0,January,6
180,<3,6/1/2024,10:30:00,19:00:00," 
",6/1/2024,Purple category,2024-01-06 10:30:00,2024-01-06 19:00:00,0 days 08:30:00,510.0,January,6
181,Οικογένεια,6/1/2024,19:30:00,23:00:00," 
",6/1/2024,Οικογένεια,2024-01-06 19:30:00,2024-01-06 23:00:00,0 days 03:30:00,210.0,January,6
182,Erroneous Tasks,7/1/2024,10:00:00,13:00:00," 
",7/1/2024,Erroneοus Tasks,2024-01-07 10:00:00,2024-01-07 13:00:00,0 days 03:00:00,180.0,January,7
183,Χαζεύω,7/1/2024,06:30:00,07:00:00," 
",7/1/2024,Χαζεύω,2024-01-07 06:30:00,2024-01-07 07:00:00,0 days 00:30:00,30.0,January,7
184,Ύπνος,7/1/2024,07:00:00,08:00:00," 
",7/1/2024,Ύπνος,2024-01-07 07:00:00,2024-01-07 08:00:00,0 days 01:00:00,60.0,January,7
185,Οικογένεια,7/1/2024,08:00:00,09:00:00," 
",7/1/2024,Οικογένεια,2024-01-07 08:00:00,2024-01-07 09:00:00,0 days 01:00:00,60.0,January,7
186,Οικογένεια,6/1/2024,09:30:00,10:30:00," 
",6/1/2024,Οικογένεια,2024-01-06 09:30:00,2024-01-06 10:30:00,0 days 01:00:00,60.0,January,6
187,Χαζεύω,6/1/2024,23:00:00,23:30:00," 
",6/1/2024,Χαζεύω,2024-01-06 23:00:00,2024-01-06 23:30:00,0 days 00:30:00,30.0,January,6
188,Other,6/1/2024,19:00:00,19:30:00," 
",6/1/2024,Other,2024-01-06 19:00:00,2024-01-06 19:30:00,0 days 00:30:00,30.0,January,6
189,Other,7/1/2024,14:30:00,15:00:00," 
",7/1/2024,Other,2024-01-07 14:30:00,2024-01-07 15:00:00,0 days 00:30:00,30.0,January,7
190,Οικογένεια,7/1/2024,13:00:00,14:00:00," 
",7/1/2024,Οικογένεια,2024-01-07 13:00:00,2024-01-07 14:00:00,0 days 01:00:00,60.0,January,7
191,Χαζεύω,7/1/2024,14:00:00,14:30:00," 
",7/1/2024,Χαζεύω,2024-01-07 14:00:00,2024-01-07 14:30:00,0 days 00:30:00,30.0,January,7
193,<3,7/1/2024,16:00:00,17:00:00," 
",7/1/2024,Purple category,2024-01-07 16:00:00,2024-01-07 17:00:00,0 days 01:00:00,60.0,January,7
194,Erroneous Tasks,7/1/2024,15:00:00,16:00:00," 
",7/1/2024,Erroneοus Tasks,2024-01-07 15:00:00,2024-01-07 16:00:00,0 days 01:00:00,60.0,January,7
195,Ύπνος,7/1/2024,23:00:00,00:00:00," 
",8/1/2024,Ύπνος,2024-01-07 23:00:00,2024-01-08 00:00:00,0 days 01:00:00,60.0,January,7
196,Χαζεύω,8/1/2024,07:00:00,08:00:00," 
",8/1/2024,Χαζεύω,2024-01-08 07:00:00,2024-01-08 08:00:00,0 days 01:00:00,60.0,January,8
197,Other,8/1/2024,15:00:00,15:30:00," 
",8/1/2024,Other,2024-01-08 15:00:00,2024-01-08 15:30:00,0 days 00:30:00,30.0,January,8
198,Other,8/1/2024,17:00:00,18:00:00," 
",8/1/2024,Other,2024-01-08 17:00:00,2024-01-08 18:00:00,0 days 01:00:00,60.0,January,8
199,Other,8/1/2024,21:00:00,22:00:00," 
",8/1/2024,Other,2024-01-08 21:00:00,2024-01-08 22:00:00,0 days 01:00:00,60.0,January,8
200,Εργασία,8/1/2024,13:00:00,15:00:00," 
",8/1/2024,Εργασία,2024-01-08 13:00:00,2024-01-08 15:00:00,0 days 02:00:00,120.0,January,8
201,Erroneous Tasks,8/1/2024,12:00:00,13:00:00," 
",8/1/2024,Erroneοus Tasks,2024-01-08 12:00:00,2024-01-08 13:00:00,0 days 01:00:00,60.0,January,8
202,Εργασία,8/1/2024,15:30:00,17:00:00," 
",8/1/2024,Εργασία,2024-01-08 15:30:00,2024-01-08 17:00:00,0 days 01:30:00,90.0,January,8
203,<3,9/1/2024,20:30:00,22:00:00," 
",9/1/2024,Purple category,2024-01-09 20:30:00,2024-01-09 22:00:00,0 days 01:30:00,90.0,January,9
204,<3,9/1/2024,14:30:00,15:00:00," 
",9/1/2024,Purple category,2024-01-09 14:30:00,2024-01-09 15:00:00,0 days 00:30:00,30.0,January,9
205,Σπίτι,9/1/2024,22:00:00,00:00:00," 
",10/1/2024,Ύπνος,2024-01-09 22:00:00,2024-01-10 00:00:00,0 days 02:00:00,120.0,January,9
206,Εργασία,9/1/2024,15:00:00,16:00:00," 
",9/1/2024,Εργασία,2024-01-09 15:00:00,2024-01-09 16:00:00,0 days 01:00:00,60.0,January,9
207,Εργασία,9/1/2024,16:00:00,17:00:00," 
",9/1/2024,Εργασία,2024-01-09 16:00:00,2024-01-09 17:00:00,0 days 01:00:00,60.0,January,9
208,Εργασία,9/1/2024,17:00:00,18:00:00," 
",9/1/2024,Εργασία,2024-01-09 17:00:00,2024-01-09 18:00:00,0 days 01:00:00,60.0,January,9
209,Χαζεύω,9/1/2024,04:30:00,05:00:00," 
",9/1/2024,Χαζεύω,2024-01-09 04:30:00,2024-01-09 05:00:00,0 days 00:30:00,30.0,January,9
210,Other,9/1/2024,05:00:00,06:00:00," 
",9/1/2024,Other,2024-01-09 05:00:00,2024-01-09 06:00:00,0 days 01:00:00,60.0,January,9
211,Χαζεύω,9/1/2024,06:00:00,06:30:00," 
",9/1/2024,Χαζεύω,2024-01-09 06:00:00,2024-01-09 06:30:00,0 days 00:30:00,30.0,January,9
212,Other,9/1/2024,06:30:00,07:30:00," 
",9/1/2024,Other,2024-01-09 06:30:00,2024-01-09 07:30:00,0 days 01:00:00,60.0,January,9
213,Ύπνος,9/1/2024,08:00:00,10:00:00," 
",9/1/2024,Ύπνος,2024-01-09 08:00:00,2024-01-09 10:00:00,0 days 02:00:00,120.0,January,9
214,Χαζεύω,9/1/2024,11:00:00,13:00:00," 
",9/1/2024,Χαζεύω,2024-01-09 11:00:00,2024-01-09 13:00:00,0 days 02:00:00,120.0,January,9
215,Other,9/1/2024,13:00:00,14:00:00," 
",9/1/2024,Other,2024-01-09 13:00:00,2024-01-09 14:00:00,0 days 01:00:00,60.0,January,9
216,Χαζεύω,9/1/2024,07:30:00,08:00:00," 
",9/1/2024,Χαζεύω,2024-01-09 07:30:00,2024-01-09 08:00:00,0 days 00:30:00,30.0,January,9
217,Other,9/1/2024,10:00:00,11:00:00," 
",9/1/2024,Other,2024-01-09 10:00:00,2024-01-09 11:00:00,0 days 01:00:00,60.0,January,9
221,Οικογένεια,8/1/2024,22:00:00,00:00:00," 
",9/1/2024,Οικογένεια,2024-01-08 22:00:00,2024-01-09 00:00:00,0 days 02:00:00,120.0,January,8
222,Εργασία,8/1/2024,18:00:00,20:30:00," 
",8/1/2024,Εργασία,2024-01-08 18:00:00,2024-01-08 20:30:00,0 days 02:30:00,150.0,January,8
223,Other,9/1/2024,19:00:00,20:30:00," 
",9/1/2024,Other,2024-01-09 19:00:00,2024-01-09 20:30:00,0 days 01:30:00,90.0,January,9
224,Σπίτι,10/1/2024,17:30:00,18:00:00," 
",10/1/2024,Ύπνος,2024-01-10 17:30:00,2024-01-10 18:00:00,0 days 00:30:00,30.0,January,10
225,Χαζεύω,8/1/2024,20:30:00,21:00:00," 
",8/1/2024,Χαζεύω,2024-01-08 20:30:00,2024-01-08 21:00:00,0 days 00:30:00,30.0,January,8
226,Other,11/1/2024,07:00:00,07:30:00," 
",11/1/2024,Other,2024-01-11 07:00:00,2024-01-11 07:30:00,0 days 00:30:00,30.0,January,11
227,Other,12/1/2024,07:00:00,07:30:00," 
",12/1/2024,Other,2024-01-12 07:00:00,2024-01-12 07:30:00,0 days 00:30:00,30.0,January,12
228,Break,11/1/2024,10:00:00,10:30:00," 
",11/1/2024,Break,2024-01-11 10:00:00,2024-01-11 10:30:00,0 days 00:30:00,30.0,January,11
229,Εργασία,11/1/2024,10:30:00,12:00:00," 
",11/1/2024,Εργασία,2024-01-11 10:30:00,2024-01-11 12:00:00,0 days 01:30:00,90.0,January,11
230,Break,11/1/2024,14:30:00,15:00:00," 
",11/1/2024,Break,2024-01-11 14:30:00,2024-01-11 15:00:00,0 days 00:30:00,30.0,January,11
231,Ύπνος,12/1/2024,00:00:00,07:00:00," 
",12/1/2024,Ύπνος,2024-01-12 00:00:00,2024-01-12 07:00:00,0 days 07:00:00,420.0,January,12
234,Εργασία,12/1/2024,08:00:00,10:00:00," 
",12/1/2024,Εργασία,2024-01-12 08:00:00,2024-01-12 10:00:00,0 days 02:00:00,120.0,January,12
235,Εργασία,12/1/2024,10:30:00,12:00:00," 
",12/1/2024,Εργασία,2024-01-12 10:30:00,2024-01-12 12:00:00,0 days 01:30:00,90.0,January,12
236,Εργασία,12/1/2024,13:00:00,14:10:00," 
",12/1/2024,Εργασία,2024-01-12 13:00:00,2024-01-12 14:10:00,0 days 01:10:00,70.0,January,12
237,Break,12/1/2024,14:10:00,14:30:00," 
",12/1/2024,Break,2024-01-12 14:10:00,2024-01-12 14:30:00,0 days 00:20:00,20.0,January,12
238,Εργασία,12/1/2024,14:30:00,16:00:00," 
",12/1/2024,Εργασία,2024-01-12 14:30:00,2024-01-12 16:00:00,0 days 01:30:00,90.0,January,12
239,<3,13/1/2024,10:30:00,22:00:00," 
",13/1/2024,Purple category,2024-01-13 10:30:00,2024-01-13 22:00:00,0 days 11:30:00,690.0,January,13
240,<3,14/1/2024,12:30:00,13:00:00," 
",14/1/2024,Purple category,2024-01-14 12:30:00,2024-01-14 13:00:00,0 days 00:30:00,30.0,January,14
244,Εργασία,10/1/2024,08:00:00,10:00:00," 
",10/1/2024,Εργασία,2024-01-10 08:00:00,2024-01-10 10:00:00,0 days 02:00:00,120.0,January,10
245,Εργασία,10/1/2024,11:30:00,12:00:00," 
",10/1/2024,Εργασία,2024-01-10 11:30:00,2024-01-10 12:00:00,0 days 00:30:00,30.0,January,10
248,Σπίτι,10/1/2024,16:10:00,16:40:00," 
",10/1/2024,Ύπνος,2024-01-10 16:10:00,2024-01-10 16:40:00,0 days 00:30:00,30.0,January,10
249,Χαζεύω,10/1/2024,16:40:00,17:00:00," 
",10/1/2024,Χαζεύω,2024-01-10 16:40:00,2024-01-10 17:00:00,0 days 00:20:00,20.0,January,10
250,<3,10/1/2024,17:00:00,17:30:00," 
",10/1/2024,Purple category,2024-01-10 17:00:00,2024-01-10 17:30:00,0 days 00:30:00,30.0,January,10
251,Other,10/1/2024,21:45:00,22:30:00," 
",10/1/2024,Other,2024-01-10 21:45:00,2024-01-10 22:30:00,0 days 00:45:00,45.0,January,10
253,Other,18/1/2024,07:00:00,07:30:00," 
",18/1/2024,Other,2024-01-18 07:00:00,2024-01-18 07:30:00,0 days 00:30:00,30.0,January,18
255,Εργασία,18/1/2024,08:30:00,10:30:00," 
",18/1/2024,Εργασία,2024-01-18 08:30:00,2024-01-18 10:30:00,0 days 02:00:00,120.0,January,18
256,Εργασία,18/1/2024,10:30:00,12:00:00," 
",18/1/2024,Εργασία,2024-01-18 10:30:00,2024-01-18 12:00:00,0 days 01:30:00,90.0,January,18
257,Break,18/1/2024,12:00:00,13:30:00," 
",18/1/2024,Break,2024-01-18 12:00:00,2024-01-18 13:30:00,0 days 01:30:00,90.0,January,18
258,Εργασία,18/1/2024,13:30:00,16:00:00," 
",18/1/2024,Εργασία,2024-01-18 13:30:00,2024-01-18 16:00:00,0 days 02:30:00,150.0,January,18
259,Other,19/1/2024,07:30:00,08:00:00," 
",19/1/2024,Other,2024-01-19 07:30:00,2024-01-19 08:00:00,0 days 00:30:00,30.0,January,19
261,Εργασία,19/1/2024,09:00:00,12:00:00," 
",19/1/2024,Εργασία,2024-01-19 09:00:00,2024-01-19 12:00:00,0 days 03:00:00,180.0,January,19
262,Break,19/1/2024,12:00:00,13:30:00," 
",19/1/2024,Break,2024-01-19 12:00:00,2024-01-19 13:30:00,0 days 01:30:00,90.0,January,19
263,Εργασία,19/1/2024,13:45:00,14:30:00," 
",19/1/2024,Εργασία,2024-01-19 13:45:00,2024-01-19 14:30:00,0 days 00:45:00,45.0,January,19
264,Break,19/1/2024,14:30:00,15:00:00," 
",19/1/2024,Break,2024-01-19 14:30:00,2024-01-19 15:00:00,0 days 00:30:00,30.0,January,19
